City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Ulaangom,MN,49.9811,92.0667,50.41,55,81,4.21,broken clouds
133,Tandil,AR,-37.3217,-59.1332,56.3,38,100,3.0,overcast clouds
134,Kidal,ML,18.4411,1.4078,100.99,12,10,10.11,clear sky
135,Guerrero Negro,MX,27.9769,-114.0611,72.55,54,71,11.45,broken clouds
136,Huinan,CN,42.6225,126.2614,51.93,91,48,1.77,scattered clouds
137,Linxi,CN,39.7,118.4333,70.81,43,100,7.14,moderate rain
138,Xining,CN,36.6167,101.7667,51.15,77,100,3.47,overcast clouds
139,Ponta Do Sol,PT,32.6667,-17.1,70.72,75,0,1.97,clear sky
140,Mancio Lima,BR,-7.6142,-72.8958,86.63,63,70,1.88,heavy intensity rain
141,Upernavik,GL,72.7868,-56.1549,37.4,85,53,3.22,broken clouds
142,Naica,MX,27.85,-105.4833,93.72,10,5,13.47,clear sky
143,Miracema Do Tocantins,BR,-9.5618,-48.3967,89.76,37,100,6.2,overcast clouds
144,Severo-Kurilsk,RU,50.6789,156.125,41.77,94,100,7.05,overcast clouds
145,San Patricio,US,28.017,-97.5169,92.01,65,6,17.11,clear sky
146,Gafanha Da Encarnacao,PT,40.6181,-8.733,69.12,82,1,13.47,clear sky
147,Wuxue,CN,29.8506,115.5525,70.74,71,100,5.21,overcast clouds
148,Kalmunai,LK,7.4167,81.8167,82.15,74,100,3.49,overcast clouds
149,Leshukonskoye,RU,64.8989,45.7622,44.49,52,44,8.97,scattered clouds
150,Ucluelet,CA,48.9329,-125.5528,55.09,90,100,14.27,light rain
151,Praya,CV,14.9215,-23.5087,77.54,69,20,21.85,few clouds
152,Kaitangata,NZ,-46.2817,169.8464,46.45,79,96,0.96,overcast clouds
153,Beaverlodge,CA,55.2166,-119.4361,59.2,36,95,11.65,overcast clouds
154,San Carlos,VE,9.6612,-68.5827,76.78,86,100,2.48,overcast clouds
155,Ancud,CL,-41.8697,-73.8203,51.22,80,100,15.5,overcast clouds
156,Dikson,RU,73.5069,80.5464,29.98,87,100,9.75,overcast clouds
157,Shellbrook,CA,53.2168,-106.4011,58.82,68,100,15.48,moderate rain
158,Estelle,US,29.8458,-90.1067,78.01,83,90,9.22,heavy intensity rain
159,Asau,RO,46.4333,26.4,60.28,80,6,3.87,clear sky
160,Buckingham,GB,51.9997,-0.9878,72.79,91,27,4.14,scattered clouds
161,Calama,CL,-22.4667,-68.9333,68.49,4,0,23.02,clear sky
162,Shetpe,KZ,44.1667,52.1167,69.98,55,0,4.9,clear sky
163,Ereymentau,KZ,51.6199,73.1033,56.12,47,0,4.47,clear sky
164,Kirakira,SB,-10.4544,161.9205,79.16,85,91,8.68,overcast clouds
165,Moyale,KE,3.5167,39.0584,74.57,47,62,5.82,broken clouds
166,Riyadh,SA,24.6877,46.7219,104.05,7,0,9.22,clear sky
167,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,0,12.66,clear sky
168,Ratnagiri,IN,16.9833,73.3,82.63,75,92,6.96,light rain
169,Ocampo,MX,21.65,-101.5,76.28,25,100,5.75,overcast clouds
170,Vangaindrano,MG,-23.35,47.6,66.38,85,96,12.57,light rain
171,Flin Flon,CA,54.7682,-101.865,57.04,94,90,10.87,mist
172,Yeppoon,AU,-23.1333,150.7333,47.98,85,4,7.65,clear sky
173,Nouakchott,MR,18.0858,-15.9785,105.73,51,3,21.77,clear sky
174,Cherskiy,RU,68.75,161.3,62.47,45,100,15.17,overcast clouds
175,Necochea,AR,-38.5473,-58.7368,56.03,48,100,2.62,overcast clouds
176,Tiksi,RU,71.6872,128.8694,43.41,66,99,8.16,overcast clouds
177,Labuhan,ID,-6.8844,112.2051,78.39,85,34,4.92,scattered clouds
178,Vanavara,RU,60.34,102.2797,34.03,77,7,4.92,clear sky
179,Revelstoke,CA,50.9832,-118.2023,55.42,58,90,3.44,overcast clouds
180,Sorland,NO,67.667,12.6934,52.47,84,95,4.65,overcast clouds
181,Chincha Alta,PE,-13.4099,-76.1323,64.76,67,13,9.35,few clouds
182,Morondava,MG,-20.2833,44.2833,74.64,56,90,13.47,overcast clouds
183,Ambulu,ID,-8.345,113.6058,75.6,91,61,1.34,broken clouds
184,Smithers,CA,54.7804,-127.1743,55.72,54,75,8.05,broken clouds
185,Khabary,RU,53.6259,79.5345,58.33,53,0,5.99,clear sky
186,Abu Dhabi,AE,24.4667,54.3667,89.33,80,0,11.3,clear sky
187,Chokurdakh,RU,70.6333,147.9167,36.19,80,100,7.74,overcast clouds
188,Srednekolymsk,RU,67.45,153.6833,55.69,56,100,12.48,overcast clouds
189,Kutum,SD,14.2,24.6667,84.34,13,5,10.04,clear sky
190,Praia,CV,14.9215,-23.5087,79.34,61,20,23.02,few clouds
191,Shimoda,JP,34.6667,138.95,68.11,88,100,7.72,overcast clouds
192,Colares,PT,38.7992,-9.4469,70.79,63,20,20.0,few clouds
193,Muzhi,RU,65.3667,64.6667,38.93,52,7,7.07,clear sky
194,Naze,JP,28.3667,129.4833,69.55,91,100,4.32,overcast clouds
195,Rawson,AR,-43.3002,-65.1023,55.44,40,16,19.44,few clouds
196,Dingzhou,CN,38.5131,114.9956,73.13,34,89,9.1,overcast clouds
197,Plettenberg Bay,ZA,-34.0527,23.3716,68.11,26,5,10.6,clear sky
198,Saint-Pierre,RE,-21.3393,55.4781,71.28,85,75,10.36,heavy intensity rain
199,Lastoursville,GA,-0.8143,12.7287,76.46,87,100,0.36,overcast clouds
200,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,74,90,8.05,overcast clouds
201,Tuatapere,NZ,-46.1333,167.6833,41.25,91,28,4.25,scattered clouds
202,Kapaa,US,22.0752,-159.319,80.58,72,23,1.01,few clouds
203,Vostok,RU,46.4856,135.8833,44.15,94,100,4.79,overcast clouds
204,La Asuncion,VE,11.0333,-63.8628,81.34,73,100,13.11,overcast clouds
205,Oktyabrskiy,RU,54.4815,53.471,56.73,73,7,1.16,clear sky
206,Bandarbeyla,SO,9.4942,50.8122,80.58,82,0,28.14,clear sky
207,Vestmannaeyjar,IS,63.4427,-20.2734,47.16,93,100,17.36,overcast clouds
208,Chak Azam Sahu,PK,30.75,73.0333,97.14,25,0,7.52,clear sky
209,Dolzhanskaya,RU,46.6311,37.8039,62.91,63,100,20.71,overcast clouds
210,Carutapera,BR,-1.195,-46.02,81.28,84,9,5.28,clear sky
211,Fuerte Olimpo,PY,-21.0415,-57.8738,90.5,34,44,8.75,scattered clouds
212,Mount Gambier,AU,-37.8333,140.7667,57.07,62,100,15.26,overcast clouds
213,Buraydah,SA,26.326,43.975,95.38,9,4,12.01,clear sky
214,Walvis Bay,NA,-22.9575,14.5053,78.1,29,0,5.79,clear sky
215,San Felipe,VE,10.3399,-68.7425,75.65,90,100,4.52,overcast clouds
216,La Serena,CL,-29.9078,-71.2542,60.31,72,40,9.22,scattered clouds
217,Russell,US,32.3502,-85.1999,85.71,86,100,1.88,overcast clouds
218,Saint-Leu,RE,-21.15,55.2833,70.66,79,75,16.35,broken clouds
219,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.67,81,100,14.81,overcast clouds
220,Esperance,AU,-33.8667,121.9,60.01,60,100,27.25,overcast clouds
221,San Quintin,MX,30.4833,-115.95,66.51,61,12,12.1,few clouds
222,Thompson,CA,55.7435,-97.8558,72.97,41,100,5.48,overcast clouds
223,San Lorenzo,PY,-25.3333,-57.5333,69.67,83,93,7.56,overcast clouds
224,Mahe,IN,11.7,75.5333,78.53,87,100,3.33,overcast clouds
225,Kamenka,RU,51.3223,42.7678,56.75,90,79,5.5,broken clouds
226,Xianyang,CN,34.3378,108.7026,80.47,29,57,5.21,broken clouds
227,Ecija,ES,37.5422,-5.0826,89.38,26,0,5.99,clear sky
228,Hay River,CA,60.8156,-115.7999,46.92,58,81,9.51,broken clouds
229,Katsuura,JP,35.1333,140.3,70.11,89,99,3.44,overcast clouds
230,Barinas,VE,8.6226,-70.2075,71.89,97,100,4.63,overcast clouds
231,Areosa,PT,41.7178,-8.8571,78.67,76,7,14.47,clear sky
232,Vardo,NO,70.3705,31.1107,43.0,65,20,9.22,few clouds
233,Bafata,GW,12.1667,-14.75,90.37,47,0,14.09,clear sky
234,Odda,NO,60.0691,6.5457,61.0,75,28,3.62,scattered clouds
235,Kodiak,US,57.79,-152.4072,53.22,59,19,6.55,few clouds
236,Paka,MY,4.6374,103.4368,79.09,86,100,5.39,overcast clouds
237,Marystown,CA,47.1666,-55.1483,57.04,86,41,4.76,scattered clouds
238,Bell Ville,AR,-32.6259,-62.6887,58.8,41,100,9.42,overcast clouds
239,Swan River,CA,52.1058,-101.2676,66.96,54,96,19.01,overcast clouds
240,Jining,CN,35.405,116.5814,81.27,40,100,9.51,overcast clouds
241,Alyangula,AU,-13.8483,136.4192,73.58,82,100,9.89,overcast clouds
242,Canutama,BR,-6.5339,-64.3831,89.71,52,68,4.27,broken clouds
243,Buala,SB,-8.145,159.5921,79.97,82,57,5.59,broken clouds
244,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,65,40,7.78,scattered clouds
245,Escarcega,MX,18.6089,-90.7454,101.44,27,35,7.02,scattered clouds
246,Menongue,AO,-14.6585,17.691,56.93,49,21,5.14,few clouds
247,Havoysund,NO,70.9963,24.6622,41.88,67,6,8.12,clear sky
248,Monrovia,LR,6.3005,-10.7969,80.37,84,98,6.22,light rain
249,Abha,SA,18.2164,42.5053,71.28,54,20,0.83,few clouds
250,Ingham,US,42.6,-84.3833,89.37,41,1,11.5,clear sky
251,La Plaine,DM,15.3333,-61.25,77.95,82,100,11.97,overcast clouds
252,Jiangyou,CN,31.7667,104.7167,74.14,55,100,4.81,overcast clouds
253,Kudahuvadhoo,MV,2.6708,72.8944,83.08,75,100,13.91,overcast clouds
254,Lata,PT,40.1629,-8.3327,76.05,58,0,5.35,clear sky
255,Santa Cruz,BO,-17.8,-63.1667,76.21,66,100,3.78,light rain
256,Niquero,CU,20.0431,-77.5828,84.16,69,45,2.86,light rain
257,Port-Gentil,GA,-0.7193,8.7815,78.84,86,99,8.99,overcast clouds
258,Zhaozhou,CN,45.6833,125.3167,57.13,70,9,0.98,clear sky
259,Lavrentiya,RU,65.5833,-171.0,34.74,81,99,5.93,overcast clouds
260,Hobyo,SO,5.3505,48.5268,79.12,86,51,26.66,broken clouds
261,Nanortalik,GL,60.1432,-45.2371,46.29,66,100,14.43,overcast clouds
262,Kaohsiung,TW,22.6163,120.3133,76.03,94,100,1.01,overcast clouds
263,Ilulissat,GL,69.2167,-51.1,42.82,70,94,4.61,overcast clouds
264,Tazovskiy,RU,67.4667,78.7,31.86,89,96,9.4,overcast clouds
265,Itacarambi,BR,-15.1022,-44.0919,86.97,31,16,7.23,few clouds
266,Kitimat,CA,54.0524,-128.6534,52.18,87,100,0.6,overcast clouds
267,Nemuro,JP,43.3236,145.575,51.22,90,12,7.29,few clouds
268,Ginir,ET,7.1333,40.7,57.54,87,94,5.84,overcast clouds
269,Kruisfontein,ZA,-34.0033,24.7314,62.89,21,0,8.46,clear sky
270,Ostrovnoy,RU,68.0531,39.5131,40.48,80,7,8.99,clear sky
271,Pleshanovo,RU,52.8333,53.4833,60.17,60,2,3.58,clear sky
272,Souillac,MU,-20.5167,57.5167,72.36,84,48,9.31,light rain
